,Location,value
837,WARRIGAL_RD N of HIGH STREET_RD,355
849,WARRIGAL_RD N of HIGH STREET_RD,357
861,WARRIGAL_RD N of HIGH STREET_RD,376
873,WARRIGAL_RD N of HIGH STREET_RD,319
885,WARRIGAL_RD N of HIGH STREET_RD,257
897,WARRIGAL_RD N of HIGH STREET_RD,258
909,WARRIGAL_RD N of HIGH STREET_RD,236
921,WARRIGAL_RD N of HIGH STREET_RD,189
933,WARRIGAL_RD N of HIGH STREET_RD,196
945,WARRIGAL_RD N of HIGH STREET_RD,169
957,WARRIGAL_RD N of HIGH STREET_RD,158
969,WARRIGAL_RD N of HIGH STREET_RD,159
981,WARRIGAL_RD N of HIGH STREET_RD,149
993,WARRIGAL_RD N of HIGH STREET_RD,126
1005,WARRIGAL_RD N of HIGH STREET_RD,141
1017,WARRIGAL_RD N of HIGH STREET_RD,131
1029,WARRIGAL_RD N of HIGH STREET_RD,109
1041,WARRIGAL_RD N of HIGH STREET_RD,104
1053,WARRIGAL_RD N of HIGH STREET_RD,125
1065,WARRIGAL_RD N of HIGH STREET_RD,120
1077,WARRIGAL_RD N of HIGH STREET_RD,77
1089,WARRIGAL_RD N of HIGH STREET_RD,77
1101,WARRIGAL_RD N of HIGH STREET_RD,70
1113,WARRIGAL_RD N of HIGH STREET_RD,62
1125,WARRIGAL_RD N of HIGH STREET_RD,45
1137,WARRIGAL_RD N of HIGH STREET_RD,39
1149,WARRIGAL_RD N of HIGH STREET_RD,27
10,WARRIGAL_RD N of HIGH STREET_RD,35
22,WARRIGAL_RD N of HIGH STREET_RD,27
34,WARRIGAL_RD N of HIGH STREET_RD,26
46,WARRIGAL_RD N of HIGH STREET_RD,19
58,WARRIGAL_RD N of HIGH STREET_RD,10
70,WARRIGAL_RD N of HIGH STREET_RD,13
82,WARRIGAL_RD N of HIGH STREET_RD,10
94,WARRIGAL_RD N of HIGH STREET_RD,11
106,WARRIGAL_RD N of HIGH STREET_RD,14
118,WARRIGAL_RD N of HIGH STREET_RD,11
130,WARRIGAL_RD N of HIGH STREET_RD,7
142,WARRIGAL_RD N of HIGH STREET_RD,8
154,WARRIGAL_RD N of HIGH STREET_RD,6
166,WARRIGAL_RD N of HIGH STREET_RD,13
178,WARRIGAL_RD N of HIGH STREET_RD,14
190,WARRIGAL_RD N of HIGH STREET_RD,5
202,WARRIGAL_RD N of HIGH STREET_RD,18
214,WARRIGAL_RD N of HIGH STREET_RD,6
226,WARRIGAL_RD N of HIGH STREET_RD,13
238,WARRIGAL_RD N of HIGH STREET_RD,14
250,WARRIGAL_RD N of HIGH STREET_RD,31
262,WARRIGAL_RD N of HIGH STREET_RD,31
274,WARRIGAL_RD N of HIGH STREET_RD,63
286,WARRIGAL_RD N of HIGH STREET_RD,68
298,WARRIGAL_RD N of HIGH STREET_RD,78
310,WARRIGAL_RD N of HIGH STREET_RD,161
322,WARRIGAL_RD N of HIGH STREET_RD,226
334,WARRIGAL_RD N of HIGH STREET_RD,238
346,WARRIGAL_RD N of HIGH STREET_RD,245
358,WARRIGAL_RD N of HIGH STREET_RD,340
370,WARRIGAL_RD N of HIGH STREET_RD,362
382,WARRIGAL_RD N of HIGH STREET_RD,325
394,WARRIGAL_RD N of HIGH STREET_RD,383
406,WARRIGAL_RD N of HIGH STREET_RD,396
418,WARRIGAL_RD N of HIGH STREET_RD,431
430,WARRIGAL_RD N of HIGH STREET_RD,372
442,WARRIGAL_RD N of HIGH STREET_RD,346
454,WARRIGAL_RD N of HIGH STREET_RD,329
466,WARRIGAL_RD N of HIGH STREET_RD,322
478,WARRIGAL_RD N of HIGH STREET_RD,341
490,WARRIGAL_RD N of HIGH STREET_RD,260
502,WARRIGAL_RD N of HIGH STREET_RD,304
514,WARRIGAL_RD N of HIGH STREET_RD,310
526,WARRIGAL_RD N of HIGH STREET_RD,284
538,WARRIGAL_RD N of HIGH STREET_RD,286
550,WARRIGAL_RD N of HIGH STREET_RD,311
562,WARRIGAL_RD N of HIGH STREET_RD,272
574,WARRIGAL_RD N of HIGH STREET_RD,256
586,WARRIGAL_RD N of HIGH STREET_RD,287
598,WARRIGAL_RD N of HIGH STREET_RD,260
610,WARRIGAL_RD N of HIGH STREET_RD,260
622,WARRIGAL_RD N of HIGH STREET_RD,299
634,WARRIGAL_RD N of HIGH STREET_RD,300
646,WARRIGAL_RD N of HIGH STREET_RD,277
658,WARRIGAL_RD N of HIGH STREET_RD,307
670,WARRIGAL_RD N of HIGH STREET_RD,283
682,WARRIGAL_RD N of HIGH STREET_RD,291
694,WARRIGAL_RD N of HIGH STREET_RD,241
706,WARRIGAL_RD N of HIGH STREET_RD,284
718,WARRIGAL_RD N of HIGH STREET_RD,284
730,WARRIGAL_RD N of HIGH STREET_RD,275
742,WARRIGAL_RD N of HIGH STREET_RD,312
754,WARRIGAL_RD N of HIGH STREET_RD,336
766,WARRIGAL_RD N of HIGH STREET_RD,327
778,WARRIGAL_RD N of HIGH STREET_RD,367
790,WARRIGAL_RD N of HIGH STREET_RD,397
802,WARRIGAL_RD N of HIGH STREET_RD,314
814,WARRIGAL_RD N of HIGH STREET_RD,354
826,WARRIGAL_RD N of HIGH STREET_RD,331
838,WARRIGAL_RD N of HIGH STREET_RD,313
850,WARRIGAL_RD N of HIGH STREET_RD,375
862,WARRIGAL_RD N of HIGH STREET_RD,323
874,WARRIGAL_RD N of HIGH STREET_RD,334
886,WARRIGAL_RD N of HIGH STREET_RD,258
898,WARRIGAL_RD N of HIGH STREET_RD,222
910,WARRIGAL_RD N of HIGH STREET_RD,254
922,WARRIGAL_RD N of HIGH STREET_RD,221
934,WARRIGAL_RD N of HIGH STREET_RD,234
946,WARRIGAL_RD N of HIGH STREET_RD,188
958,WARRIGAL_RD N of HIGH STREET_RD,175
970,WARRIGAL_RD N of HIGH STREET_RD,147
982,WARRIGAL_RD N of HIGH STREET_RD,162
994,WARRIGAL_RD N of HIGH STREET_RD,143
1006,WARRIGAL_RD N of HIGH STREET_RD,139
1018,WARRIGAL_RD N of HIGH STREET_RD,166
1030,WARRIGAL_RD N of HIGH STREET_RD,156
1042,WARRIGAL_RD N of HIGH STREET_RD,131
1054,WARRIGAL_RD N of HIGH STREET_RD,123
1066,WARRIGAL_RD N of HIGH STREET_RD,146
1078,WARRIGAL_RD N of HIGH STREET_RD,120
1090,WARRIGAL_RD N of HIGH STREET_RD,84
1102,WARRIGAL_RD N of HIGH STREET_RD,79
1114,WARRIGAL_RD N of HIGH STREET_RD,71
1126,WARRIGAL_RD N of HIGH STREET_RD,55
1138,WARRIGAL_RD N of HIGH STREET_RD,45
1150,WARRIGAL_RD N of HIGH STREET_RD,33
