,Location,value
61,WARRIGAL_RD N of HIGH STREET_RD,61
73,WARRIGAL_RD N of HIGH STREET_RD,34
85,WARRIGAL_RD N of HIGH STREET_RD,29
97,WARRIGAL_RD N of HIGH STREET_RD,42
109,WARRIGAL_RD N of HIGH STREET_RD,35
121,WARRIGAL_RD N of HIGH STREET_RD,29
133,WARRIGAL_RD N of HIGH STREET_RD,25
145,WARRIGAL_RD N of HIGH STREET_RD,23
157,WARRIGAL_RD N of HIGH STREET_RD,17
169,WARRIGAL_RD N of HIGH STREET_RD,26
181,WARRIGAL_RD N of HIGH STREET_RD,16
193,WARRIGAL_RD N of HIGH STREET_RD,17
205,WARRIGAL_RD N of HIGH STREET_RD,11
217,WARRIGAL_RD N of HIGH STREET_RD,8
229,WARRIGAL_RD N of HIGH STREET_RD,15
241,WARRIGAL_RD N of HIGH STREET_RD,9
253,WARRIGAL_RD N of HIGH STREET_RD,18
265,WARRIGAL_RD N of HIGH STREET_RD,17
277,WARRIGAL_RD N of HIGH STREET_RD,24
289,WARRIGAL_RD N of HIGH STREET_RD,35
301,WARRIGAL_RD N of HIGH STREET_RD,34
313,WARRIGAL_RD N of HIGH STREET_RD,71
325,WARRIGAL_RD N of HIGH STREET_RD,66
337,WARRIGAL_RD N of HIGH STREET_RD,53
349,WARRIGAL_RD N of HIGH STREET_RD,68
361,WARRIGAL_RD N of HIGH STREET_RD,76
373,WARRIGAL_RD N of HIGH STREET_RD,66
385,WARRIGAL_RD N of HIGH STREET_RD,77
397,WARRIGAL_RD N of HIGH STREET_RD,102
409,WARRIGAL_RD N of HIGH STREET_RD,136
421,WARRIGAL_RD N of HIGH STREET_RD,149
433,WARRIGAL_RD N of HIGH STREET_RD,143
445,WARRIGAL_RD N of HIGH STREET_RD,158
457,WARRIGAL_RD N of HIGH STREET_RD,244
469,WARRIGAL_RD N of HIGH STREET_RD,279
481,WARRIGAL_RD N of HIGH STREET_RD,258
493,WARRIGAL_RD N of HIGH STREET_RD,241
505,WARRIGAL_RD N of HIGH STREET_RD,266
517,WARRIGAL_RD N of HIGH STREET_RD,271
529,WARRIGAL_RD N of HIGH STREET_RD,310
541,WARRIGAL_RD N of HIGH STREET_RD,307
553,WARRIGAL_RD N of HIGH STREET_RD,291
565,WARRIGAL_RD N of HIGH STREET_RD,310
577,WARRIGAL_RD N of HIGH STREET_RD,279
589,WARRIGAL_RD N of HIGH STREET_RD,302
601,WARRIGAL_RD N of HIGH STREET_RD,340
613,WARRIGAL_RD N of HIGH STREET_RD,309
625,WARRIGAL_RD N of HIGH STREET_RD,346
637,WARRIGAL_RD N of HIGH STREET_RD,341
649,WARRIGAL_RD N of HIGH STREET_RD,332
661,WARRIGAL_RD N of HIGH STREET_RD,392
673,WARRIGAL_RD N of HIGH STREET_RD,279
685,WARRIGAL_RD N of HIGH STREET_RD,338
697,WARRIGAL_RD N of HIGH STREET_RD,316
709,WARRIGAL_RD N of HIGH STREET_RD,306
721,WARRIGAL_RD N of HIGH STREET_RD,294
733,WARRIGAL_RD N of HIGH STREET_RD,327
745,WARRIGAL_RD N of HIGH STREET_RD,293
757,WARRIGAL_RD N of HIGH STREET_RD,286
769,WARRIGAL_RD N of HIGH STREET_RD,270
781,WARRIGAL_RD N of HIGH STREET_RD,254
793,WARRIGAL_RD N of HIGH STREET_RD,260
805,WARRIGAL_RD N of HIGH STREET_RD,289
817,WARRIGAL_RD N of HIGH STREET_RD,292
829,WARRIGAL_RD N of HIGH STREET_RD,287
841,WARRIGAL_RD N of HIGH STREET_RD,227
853,WARRIGAL_RD N of HIGH STREET_RD,236
865,WARRIGAL_RD N of HIGH STREET_RD,221
877,WARRIGAL_RD N of HIGH STREET_RD,202
889,WARRIGAL_RD N of HIGH STREET_RD,210
901,WARRIGAL_RD N of HIGH STREET_RD,196
