,Location,value
781,WARRIGAL_RD N of HIGH STREET_RD,289
800,WARRIGAL_RD N of HIGH STREET_RD,293
819,WARRIGAL_RD N of HIGH STREET_RD,299
838,WARRIGAL_RD N of HIGH STREET_RD,293
857,WARRIGAL_RD N of HIGH STREET_RD,273
876,WARRIGAL_RD N of HIGH STREET_RD,264
895,WARRIGAL_RD N of HIGH STREET_RD,264
914,WARRIGAL_RD N of HIGH STREET_RD,290
933,WARRIGAL_RD N of HIGH STREET_RD,260
952,WARRIGAL_RD N of HIGH STREET_RD,286
971,WARRIGAL_RD N of HIGH STREET_RD,272
990,WARRIGAL_RD N of HIGH STREET_RD,274
1009,WARRIGAL_RD N of HIGH STREET_RD,270
1028,WARRIGAL_RD N of HIGH STREET_RD,259
1047,WARRIGAL_RD N of HIGH STREET_RD,313
1066,WARRIGAL_RD N of HIGH STREET_RD,281
1085,WARRIGAL_RD N of HIGH STREET_RD,347
1104,WARRIGAL_RD N of HIGH STREET_RD,280
1123,WARRIGAL_RD N of HIGH STREET_RD,266
1142,WARRIGAL_RD N of HIGH STREET_RD,347
1161,WARRIGAL_RD N of HIGH STREET_RD,277
1180,WARRIGAL_RD N of HIGH STREET_RD,328
1199,WARRIGAL_RD N of HIGH STREET_RD,318
1218,WARRIGAL_RD N of HIGH STREET_RD,357
1237,WARRIGAL_RD N of HIGH STREET_RD,347
1256,WARRIGAL_RD N of HIGH STREET_RD,381
1275,WARRIGAL_RD N of HIGH STREET_RD,288
1294,WARRIGAL_RD N of HIGH STREET_RD,358
1313,WARRIGAL_RD N of HIGH STREET_RD,338
1332,WARRIGAL_RD N of HIGH STREET_RD,365
1351,WARRIGAL_RD N of HIGH STREET_RD,369
1370,WARRIGAL_RD N of HIGH STREET_RD,296
1389,WARRIGAL_RD N of HIGH STREET_RD,335
1408,WARRIGAL_RD N of HIGH STREET_RD,269
1427,WARRIGAL_RD N of HIGH STREET_RD,232
1446,WARRIGAL_RD N of HIGH STREET_RD,211
1465,WARRIGAL_RD N of HIGH STREET_RD,198
1484,WARRIGAL_RD N of HIGH STREET_RD,176
1503,WARRIGAL_RD N of HIGH STREET_RD,163
1522,WARRIGAL_RD N of HIGH STREET_RD,155
1541,WARRIGAL_RD N of HIGH STREET_RD,140
